Species,dataset,PC,Variance_Percentage
Begonia,353_gene,PC29,1.51
Begonia,353_gene,PC30,1.48
Begonia,353_gene,PC31,1.45
Begonia,353_gene,PC32,1.21
Begonia,353_super,PC1,21.06
Begonia,353_super,PC2,6.3
Begonia,353_super,PC3,5.06
Begonia,353_super,PC4,4.52
Begonia,353_super,PC5,3.8
Begonia,353_super,PC6,3.6
Begonia,353_super,PC7,3.44
Begonia,353_super,PC8,3.21
Begonia,353_super,PC9,3.18
Begonia,353_super,PC10,2.97
Begonia,353_super,PC11,2.54
Begonia,353_super,PC12,2.35
Begonia,353_super,PC13,2.24
Begonia,353_super,PC14,2.12
Begonia,353_super,PC15,2.11
Begonia,353_super,PC16,2.05
Begonia,353_super,PC17,2
Begonia,353_super,PC18,1.96
Begonia,353_super,PC19,1.91
Begonia,353_super,PC20,1.86
Begonia,353_super,PC21,1.83
