Sample,Het,adjusted_het,num_sites,site_adjusted,taxa,life_history,breeding_system,genome_size
BUSCO,0.00521262,1.91E-09,2.28E+06,2.28E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00540198,1.98E-09,2.39E+06,2.26E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00579621,2.12E-09,2.42E+06,2.39E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00578123,2.12E-09,2.45E+06,2.36E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00621119,2.28E-09,2.39E+06,2.60E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00529945,1.94E-09,2.40E+06,2.21E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00513151,1.88E-09,2.47E+06,2.07E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.0055902,2.05E-09,2.28E+06,2.45E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.0056243,2.06E-09,2.28E+06,2.47E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00543918,1.99E-09,2.39E+06,2.27E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00574094,2.10E-09,2.32E+06,2.48E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00528482,1.94E-09,2.40E+06,2.20E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00525841,1.93E-09,2.46E+06,2.13E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00484306,1.77E-09,2.44E+06,1.99E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00487981,1.79E-09,2.30E+06,2.12E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00517489,1.90E-09,2.27E+06,2.27E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00525421,1.93E-09,2.09E+06,2.52E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00588759,2.16E-09,2.28E+06,2.58E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00579385,2.12E-09,2.48E+06,2.33E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00533876,1.96E-09,2.53E+06,2.11E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00551959,2.02E-09,2.53E+06,2.18E-09,Malania_oleifera,perennial,outcrossing,large
